Gustavo,gus@yahoo.com,"['pop', 'rock', 'metal']","['guitarra', 'violão']"
Mario,mario@yahoo.com,"['rock', 'funk', 'hiphop']","['banjo', 'flauta']"
Lucca,lucca@yahoo.com,"['clássico', 'pop']",['']
Kleiton,kleiton@gmail.com,['pop'],['teclado']
Maria,maria@yahoo.com,"['clássico', 'funk', 'bossa nova', 'anos 90']","['banjo', 'cavaquinho', 'piano-espacial', 'harpa']"
Higor,higor@gmail.com,['kpop'],"['lira', 'orgao']"
Julio,julio@gmail.com,"['pisadinha', 'molejo']","['harpa', 'flauta']"
Karla,karla@gmail.com,['forrozinho'],['gaita']
Gui,gui@gmail.com,['pop'],['guitarra']
Marquinho1,mark1@gmail.com,['reggae'],['viola']
Marquinho2,mark2@gmail.com,['reggae'],['viola']
Joana1,j1@gmail.com,['reggae'],['teclado']
Joana2,j2@gmail.com,['reggae'],['teclado']
Marcia1,m1@gmail.com,['reggae'],['berimbau']
Marcia2,m2@gmail.com,['reggae'],['berimbau']
Marcio1,mo1@gmail.com,['reggae'],['tambor']
Marcio2,mo2@gmail.com,['reggae'],['tambor']
Gui1,go1@gmail.com,['reggae'],['flauta']
Gui2,go2@gmail.com,['reggae'],['flauta']
Lucas1,lu1@gmail.com,['reggae'],['guitarra']
Lucas2,lu2@gmail.com,['reggae'],['guitarra']
Luc1,luc1@gmail.com,['reggae'],['bateria']
Luc2,luc1@gmail.com,['reggae'],['bateria']
Ariana Grande,ari@gmail.com,"['pop', 'r&b', 'rock']","['vocal', 'piano']"
